"Accession","varImp","Primary_function","Description","Biological_Process","Cellular_Component","Molecular_Function"
"A0A2R8Y619",0.000854010431868974,"DNA_packaging","Histone H2B type 2-E1 OS=Homo sapiens OX=9606 GN=H2BE1 PE=3 SV=1","cell organization and biogenesis","nucleus;other cell component","nucleic acid binding activity;other molecular function"
"A0A087X2D0",0.000851960198234863,"RNA_processing","Serine/arginine-rich-splicing factor 3 OS=Homo sapiens OX=9606 GN=SRSF3 PE=1 SV=1","","","nucleic acid binding activity"
"P10809",0.00085157912123043,"protein_folding","60 kDa heat shock protein, mitochondrial OS=Homo sapiens OX=9606 GN=HSPD1 PE=1 SV=2","cell cycle OR cell proliferation;cell organization and biogenesis;protein metabolism;DNA metabolism;other metabolic processes;stress response;transport;developmental processes;signal transduction;other biological processes","non-structural extracellular;plasma membrane;other membranes;cytosol;cytoskeleton;mitochondrion;ER/Golgi;other cytoplasmic organelle;other cell component","nucleic acid binding activity;other molecular function"
"P04406",0.000848196141079642,"glycolysis","Glyceraldehyde-3-phosphate dehydrogenase OS=Homo sapiens OX=9606 GN=GAPDH PE=1 SV=3","cell organization and biogenesis;protein metabolism;other metabolic processes;stress response;other biological processes","plasma membrane;other membranes;cytosol;cytoskeleton;nucleus;other cell component","enzyme regulator activity;cytoskeletal activity;other molecular function"
"P06733",0.000845489322085296,"glycolysis","Alpha-enolase OS=Homo sapiens OX=9606 GN=ENO1 PE=1 SV=2","other metabolic processes;other biological processes","plasma membrane;other membranes;cytosol;cytoskeleton;other cell component","nucleic acid binding activity;other molecular function"
"P07195",0.000842887154490943,"anaerobic_respiration","L-lactate dehydrogenase B chain OS=Homo sapiens OX=9606 GN=LDHB PE=1 SV=2","other metabolic processes","other membranes;cytosol;mitochondrion;other cell component","other molecular function"
"Q1JUQ5",0.000838326049966759,"protein_folding","Peptidylprolyl isomerase OS=Homo sapiens OX=9606 GN=FKBP1A PE=1 SV=1","protein metabolism;other metabolic processes","","other molecular function"
"Q5D862",0.000834777516036296,"cell_adhesion_&_contact","Filaggrin-2 OS=Homo sapiens OX=9606 GN=FLG2 PE=1 SV=1","cell adhesion;developmental processes;other biological processes","non-structural extracellular;plasma membrane;other cell component","other molecular function"
"Q08188",0.000832470232955132,"keratinization","Protein-glutamine gamma-glutamyltransferase E OS=Homo sapiens OX=9606 GN=TGM3 PE=1 SV=4","cell organization and biogenesis;protein metabolism;other metabolic processes;developmental processes","plasma membrane;other membranes;other cell component","other molecular function"
"P17174",0.000830920704329184,"AA_catabolic_process","Aspartate aminotransferase, cytoplasmic OS=Homo sapiens OX=9606 GN=GOT1 PE=1 SV=3","other metabolic processes;stress response;signal transduction;other biological processes","cytosol;nucleus;other cytoplasmic organelle;other cell component","other molecular function"
"Q9NTX5",0.000827275698692959,"beta_oxidation","Ethylmalonyl-CoA decarboxylase OS=Homo sapiens OX=9606 GN=ECHDC1 PE=1 SV=2","other metabolic processes","cytosol","other molecular function"
"G5EA31",0.000823616572087842,"intracellular_transport","Protein transport protein Sec24C OS=Homo sapiens OX=9606 GN=SEC24C PE=1 SV=1","transport","other membranes;cytosol;ER/Golgi","other molecular function"
"A0A3B3ISS6",0.000819569461114772,"cell_growth_control","Transmembrane glycoprotein NMB OS=Homo sapiens OX=9606 GN=GPNMB PE=1 SV=1","","other membranes",""
"P15309",0.000817320407367642,"protein_modification","Prostatic acid phosphatase OS=Homo sapiens OX=9606 GN=ACP3 PE=1 SV=3","cell organization and biogenesis;protein metabolism;other metabolic processes;other biological processes","non-structural extracellular;plasma membrane;other membranes;cytosol;other cytoplasmic organelle;other cell component","other molecular function"
"Q14532",0.000811598902029771,"structural_proteins_hair_nail_epidermis","Keratin, type I cuticular Ha2 OS=Homo sapiens OX=9606 GN=KRT32 PE=1 SV=3","other biological processes","cytosol;cytoskeleton","other molecular function"
"O76013",0.000811562654396056,"structural_proteins_hair_nail_epidermis","Keratin, type I cuticular Ha6 OS=Homo sapiens OX=9606 GN=KRT36 PE=1 SV=1","other biological processes","cytosol;cytoskeleton","bone, tooth or skin structural activity"
"Q701N4",0.000805812007046989,"structural_proteins_hair_nail_epidermis","Keratin-associated protein 5-2 OS=Homo sapiens OX=9606 GN=KRTAP5-2 PE=1 SV=1","","cytosol;cytoskeleton",""
"Q9P253",0.000804248461999272,"intracellular_transport","Vacuolar protein sorting-associated protein 18 homolog OS=Homo sapiens OX=9606 GN=VPS18 PE=1 SV=2","cell organization and biogenesis;protein metabolism;other metabolic processes;transport;other biological processes","other membranes;cytoskeleton;other cytoplasmic organelle;other cell component","cytoskeletal activity;other molecular function"
"Q9BYR2",0.000799507350674789,"structural_proteins_hair_nail_epidermis","Keratin-associated protein 4-5 OS=Homo sapiens OX=9606 GN=KRTAP4-5 PE=1 SV=4","other biological processes","cytosol;cytoskeleton",""
"P62805",0.000797720343356449,"DNA_packaging","Histone H4 OS=Homo sapiens OX=9606 GN=H4C1 PE=1 SV=2","cell organization and biogenesis;RNA metabolism OR transcription;other metabolic processes;other biological processes","non-structural extracellular;nucleus;other cell component","nucleic acid binding activity;other molecular function"
"P62269",0.000794794969890263,"translation","40S ribosomal protein S18 OS=Homo sapiens OX=9606 GN=RPS18 PE=1 SV=3","protein metabolism;other metabolic processes","cytosol;translational apparatus;nucleus;other cell component","nucleic acid binding activity;other molecular function"
"P55795",0.000790715479147755,"RNA_processing","Heterogeneous nuclear ribonucleoprotein H2 OS=Homo sapiens OX=9606 GN=HNRNPH2 PE=1 SV=1","other biological processes","cytosol;nucleus;other cell component",""
"Q14525",0.000788522741215629,"structural_proteins_hair_nail_epidermis","Keratin, type I cuticular Ha3-II OS=Homo sapiens OX=9606 GN=KRT33B PE=1 SV=3","other biological processes","cytosol;cytoskeleton","other molecular function"
"P23284",0.000784216604286958,"protein_modification","Peptidyl-prolyl cis-trans isomerase B OS=Homo sapiens OX=9606 GN=PPIB PE=1 SV=2","protein metabolism;other metabolic processes;developmental processes;other biological processes","ER/Golgi;nucleus;other cell component","other molecular function"
"P07237",0.000778808788114029,"protein_modification","Protein disulfide-isomerase OS=Homo sapiens OX=9606 GN=P4HB PE=1 SV=3","protein metabolism;other metabolic processes;stress response;signal transduction;other biological processes","non-structural extracellular;plasma membrane;other membranes;cytosol;cytoskeleton;ER/Golgi;other cell component","signal transduction activity or receptor binding;cytoskeletal activity;other molecular function"
"P35658",0.00077797821689085,"nuclear_transport","Nuclear pore complex protein Nup214 OS=Homo sapiens OX=9606 GN=NUP214 PE=1 SV=2","cell cycle OR cell proliferation;other metabolic processes;transport;other biological processes","cytosol;nucleus","other molecular function"
"P61204",0.0007761634045312,"intracellular_transport","ADP-ribosylation factor 3 OS=Homo sapiens OX=9606 GN=ARF3 PE=1 SV=2","transport","plasma membrane;other membranes;ER/Golgi;other cell component","other molecular function"
"Q14195",0.000775376836407028,"cell_organization","Dihydropyrimidinase-related protein 3 OS=Homo sapiens OX=9606 GN=DPYSL3 PE=1 SV=1","cell organization and biogenesis;stress response;developmental processes;other biological processes","non-structural extracellular;cytosol;cytoskeleton;ER/Golgi;other cell component","cytoskeletal activity;other molecular function"
"Q96FQ6",0.000774968831317436,"calcium_ion_binding","Protein S100-A16 OS=Homo sapiens OX=9606 GN=S100A16 PE=1 SV=1","other biological processes","non-structural extracellular;plasma membrane;other membranes;cytosol;nucleus;other cell component","other molecular function"
"A0A140TA69",0.000773942759373173,"structural_proteins_hair_nail_epidermis","Keratin, type I cuticular Ha4 OS=Homo sapiens OX=9606 GN=KRT34 PE=3 SV=1","","cytoskeleton","other molecular function"
"Q16777",0.000771655650240155,"DNA_packaging","Histone H2A type 2-C OS=Homo sapiens OX=9606 GN=H2AC20 PE=1 SV=4","cell organization and biogenesis","nucleus;other cell component","nucleic acid binding activity;other molecular function"
"A0A087X142",0.000768715417410071,"cell_division","Septin-8 OS=Homo sapiens OX=9606 GN=SEPTIN8 PE=1 SV=1","","other membranes;cytoskeleton;ER/Golgi;other cell component","other molecular function"
"P30084",0.000765788057383468,"beta_oxidation","Enoyl-CoA hydratase, mitochondrial OS=Homo sapiens OX=9606 GN=ECHS1 PE=1 SV=4","other metabolic processes","mitochondrion","other molecular function"
"P40967",0.000762856019391966,"melanin_metabolism","Melanocyte protein PMEL OS=Homo sapiens OX=9606 GN=PMEL PE=1 SV=2","cell organization and biogenesis;other metabolic processes","non-structural extracellular;plasma membrane;other membranes;ER/Golgi;other cytoplasmic organelle;other cell component","other molecular function"
"O76009",0.000755737816665642,"structural_proteins_hair_nail_epidermis","Keratin, type I cuticular Ha3-I OS=Homo sapiens OX=9606 GN=KRT33A PE=2 SV=2","","cytosol;cytoskeleton","other molecular function"
"P98179",0.000749838774134282,"RNA_processing","RNA-binding protein 3 OS=Homo sapiens OX=9606 GN=RBM3 PE=1 SV=1","RNA metabolism OR transcription;other metabolic processes;other biological processes","nucleus;other cell component","translation activity"
"Q9Y6Q5",0.000748518495891785,"intracellular_signalling","AP-1 complex subunit mu-2 OS=Homo sapiens OX=9606 GN=AP1M2 PE=1 SV=4","transport","other membranes;cytosol;ER/Golgi;other cytoplasmic organelle;other cell component","other molecular function"
"P49773",0.000746454462388681,"nucleotide/-side_metabolism","Histidine triad nucleotide-binding protein 1 OS=Homo sapiens OX=9606 GN=HINT1 PE=1 SV=2","other metabolic processes;signal transduction;other biological processes","plasma membrane;other membranes;cytosol;cytoskeleton;nucleus;other cell component","other molecular function"
"F8WEF0",0.000744840475016126,"nucleotide/-side_metabolism","Bifunctional purine biosynthesis protein PURH OS=Homo sapiens OX=9606 GN=ATIC PE=1 SV=1","other metabolic processes","","other molecular function"
"O14908",0.000742380013367855,"intracellular_signalling","PDZ domain-containing protein GIPC1 OS=Homo sapiens OX=9606 GN=GIPC1 PE=1 SV=2","cell-cell signaling;transport;signal transduction;other biological processes","other membranes;cytosol;ER/Golgi;other cell component","signal transduction activity or receptor binding;cytoskeletal activity;other molecular function"
"P62140",0.000740190948021413,"cell_division","Serine/threonine-protein phosphatase PP1-beta catalytic subunit OS=Homo sapiens OX=9606 GN=PPP1CB PE=1 SV=3","cell cycle OR cell proliferation;protein metabolism;other metabolic processes;signal transduction;other biological processes","plasma membrane;other membranes;cytosol;nucleus;other cell component","other molecular function"
"P12236",0.000736506445408792,"other_transmembrane_transport","ADP/ATP translocase 3 OS=Homo sapiens OX=9606 GN=SLC25A6 PE=1 SV=4","transport;other biological processes","other membranes;mitochondrion","transporter activity"
"Q04837",0.000730094615169746,"DNA_replication","Single-stranded DNA-binding protein, mitochondrial OS=Homo sapiens OX=9606 GN=SSBP1 PE=1 SV=1","cell organization and biogenesis;other metabolic processes;other biological processes","mitochondrion;other cell component","nucleic acid binding activity;other molecular function"
"O76015",0.000729965869810809,"structural_proteins_hair_nail_epidermis","Keratin, type I cuticular Ha8 OS=Homo sapiens OX=9606 GN=KRT38 PE=1 SV=3","","cytosol;cytoskeleton","other molecular function"
"A0A087X0X3",0.000726710430439873,"RNA_processing","Heterogeneous nuclear ribonucleoprotein M OS=Homo sapiens OX=9606 GN=HNRNPM PE=1 SV=1","RNA metabolism OR transcription;other metabolic processes","nucleus","nucleic acid binding activity"
"Q9BVC6",0.000725731271041588,"apoptosis_regulation","Transmembrane protein 109 OS=Homo sapiens OX=9606 GN=TMEM109 PE=1 SV=1","stress response;transport;signal transduction;other biological processes","other membranes;cytosol;ER/Golgi;nucleus","transporter activity"
"Q8IUC3",0.000723144004620041,"structural_proteins_hair_nail_epidermis","Keratin-associated protein 7-1 OS=Homo sapiens OX=9606 GN=KRTAP7-1 PE=1 SV=2","","cytoskeleton",""
"Q6P587",0.000721255123028368,"additional_carb_catabolic_process","Acylpyruvase FAHD1, mitochondrial OS=Homo sapiens OX=9606 GN=FAHD1 PE=1 SV=2","","cytosol;mitochondrion;nucleus","other molecular function"
"Q15369",0.000718367575669673,"transcription","Elongin-C OS=Homo sapiens OX=9606 GN=ELOC PE=1 SV=1","protein metabolism;other metabolic processes;other biological processes","cytosol;nucleus;other cell component",""
"C9IZL7",0.000716465852116434,"RNA_processing","Non-POU domain-containing octamer-binding protein (Fragment) OS=Homo sapiens OX=9606 GN=NONO PE=1 SV=1","","","nucleic acid binding activity"
"P23526",0.000710136101232448,"AA_biosynthesis","Adenosylhomocysteinase OS=Homo sapiens OX=9606 GN=AHCY PE=1 SV=4","other metabolic processes;stress response;other biological processes","cytosol;nucleus;other cell component","other molecular function"
"P62937",0.000708399877337344,"protein_modification","Peptidyl-prolyl cis-trans isomerase A OS=Homo sapiens OX=9606 GN=PPIA PE=1 SV=2","cell adhesion;cell organization and biogenesis;protein metabolism;other metabolic processes;stress response;developmental processes;other biological processes","non-structural extracellular;nucleus;other cell component","signal transduction activity or receptor binding;other molecular function"
"P07954",0.00070239348674286,"citric_acid_cycle","Fumarate hydratase, mitochondrial OS=Homo sapiens OX=9606 GN=FH PE=1 SV=3","DNA metabolism;other metabolic processes;stress response;other biological processes","cytosol;mitochondrion;nucleus;other cell component","other molecular function"
"Q9BZM2",0.000699657649958475,"membrane_lipid_metabolism","Group IIF secretory phospholipase A2 OS=Homo sapiens OX=9606 GN=PLA2G2F PE=1 SV=1","other metabolic processes;stress response;transport;other biological processes","non-structural extracellular;plasma membrane;other membranes;cytosol","other molecular function"
"Q01469",0.000698778054202519,"intracellular_transport","Fatty acid-binding protein 5 OS=Homo sapiens OX=9606 GN=FABP5 PE=1 SV=3","other metabolic processes;transport;other biological processes","non-structural extracellular;plasma membrane;other membranes;cytosol;nucleus;other cytoplasmic organelle;other cell component","transporter activity;other molecular function"
"Q9UJY1",0.000693190805549265,"protein_quality_control","Heat shock protein beta-8 OS=Homo sapiens OX=9606 GN=HSPB8 PE=1 SV=1","protein metabolism;other metabolic processes;stress response;other biological processes","cytosol;nucleus;other cell component","other molecular function"
"Q15437",0.000692161875941802,"intracellular_transport","Protein transport protein Sec23B OS=Homo sapiens OX=9606 GN=SEC23B PE=1 SV=2","cell organization and biogenesis;transport","other membranes;cytosol;ER/Golgi;other cell component","enzyme regulator activity;other molecular function"
"A0A286YF46",0.000689657054327397,"structural_proteins_hair_nail_epidermis","Small cysteine and glycine repeat-containing protein 5 OS=Homo sapiens OX=9606 GN=SCYGR5 PE=1 SV=1","","cytoskeleton",""
"P04792",0.000688723278970184,"protein_folding","Heat shock protein beta-1 OS=Homo sapiens OX=9606 GN=HSPB1 PE=1 SV=2","stress response;transport;signal transduction;other biological processes","plasma membrane;other membranes;cytosol;cytoskeleton;nucleus;other cell component","enzyme regulator activity;other molecular function"
"P09382",0.000681131861449445,"cell_growth_control","Galectin-1 OS=Homo sapiens OX=9606 GN=LGALS1 PE=1 SV=2","stress response;developmental processes;other biological processes","cytosol;ER/Golgi;nucleus;other cell component","other molecular function"
"P13639",0.000679360662781906,"translation","Elongation factor 2 OS=Homo sapiens OX=9606 GN=EEF2 PE=1 SV=4","cell cycle OR cell proliferation;protein metabolism;other metabolic processes;stress response;developmental processes;other biological processes","non-structural extracellular;plasma membrane;other membranes;cytosol;translational apparatus;other cell component","cytoskeletal activity;translation activity;nucleic acid binding activity;other molecular function"
"Q16778",0.000678229897676998,"DNA_packaging","Histone H2B type 2-E OS=Homo sapiens OX=9606 GN=H2BC21 PE=1 SV=3","cell organization and biogenesis;stress response;other biological processes","non-structural extracellular;cytosol;nucleus;other cell component","nucleic acid binding activity;other molecular function"
"P12532",0.000675924537795015,"other_transmembrane_transport","Creatine kinase U-type, mitochondrial OS=Homo sapiens OX=9606 GN=CKMT1A PE=1 SV=1","other metabolic processes","other membranes;mitochondrion","kinase activity;other molecular function"
"A0A024RCQ8",0.000675886337831057,"(none/unknown)","HCG1999928, isoform CRA_a OS=Homo sapiens OX=9606 GN=PPT2 PE=1 SV=1","other metabolic processes","other cytoplasmic organelle","other molecular function"
"P11177",0.000675224625154147,"additional_carb_catabolic_process","Pyruvate dehydrogenase E1 component subunit beta, mitochondrial OS=Homo sapiens OX=9606 GN=PDHB PE=1 SV=3","other metabolic processes","mitochondrion;nucleus;other cell component","other molecular function"
"P62906",0.000674457430990265,"translation","60S ribosomal protein L10a OS=Homo sapiens OX=9606 GN=RPL10A PE=1 SV=2","protein metabolism;RNA metabolism OR transcription;other metabolic processes;other biological processes","cytosol;translational apparatus;other cell component","other molecular function"
"P21281",0.00067276367095687,"protone_transmembrane_transport","V-type proton ATPase subunit B, brain isoform OS=Homo sapiens OX=9606 GN=ATP6V1B2 PE=1 SV=3","other metabolic processes;transport;other biological processes","plasma membrane;other membranes;cytosol;other cytoplasmic organelle;other cell component","transporter activity;other molecular function"
"E9PH18",0.000671036854752329,"protein_folding","DnaJ homolog subfamily B member 6 OS=Homo sapiens OX=9606 GN=DNAJB6 PE=1 SV=1","","nucleus",""
"Q86SJ6",0.000664065772115099,"cell_adhesion_&_contact","Desmoglein-4 OS=Homo sapiens OX=9606 GN=DSG4 PE=1 SV=1","cell adhesion","plasma membrane;other membranes;other cell component","other molecular function"
"P02511",0.000661770757548295,"stress_response","Alpha-crystallin B chain OS=Homo sapiens OX=9606 GN=CRYAB PE=1 SV=2","cell organization and biogenesis;stress response;developmental processes;signal transduction;other biological processes","plasma membrane;other membranes;cytosol;cytoskeleton;mitochondrion;ER/Golgi;nucleus;other cell component","cytoskeletal activity;other molecular function"
"P68871",0.00064971391857514,"oxygen_transport","Hemoglobin subunit beta OS=Homo sapiens OX=9606 GN=HBB PE=1 SV=2","other metabolic processes;stress response;transport;other biological processes","non-structural extracellular;cytosol;other cell component","other molecular function"
"P68366",0.000649454756128416,"cell_organization","Tubulin alpha-4A chain OS=Homo sapiens OX=9606 GN=TUBA4A PE=1 SV=1","cell cycle OR cell proliferation;cell organization and biogenesis","non-structural extracellular;cytosol;cytoskeleton;other cell component","cytoskeletal activity;other molecular function"
"Q9BYQ9",0.000647060549701461,"structural_proteins_hair_nail_epidermis","Keratin-associated protein 4-8 OS=Homo sapiens OX=9606 GN=KRTAP4-8 PE=2 SV=4","other biological processes","cytosol;cytoskeleton",""
"Q92764",0.000645357759732129,"structural_proteins_hair_nail_epidermis","Keratin, type I cuticular Ha5 OS=Homo sapiens OX=9606 GN=KRT35 PE=1 SV=5","other biological processes","cytosol;cytoskeleton","other molecular function"
"P50395",0.000645199147655912,"intracellular_transport","Rab GDP dissociation inhibitor beta OS=Homo sapiens OX=9606 GN=GDI2 PE=1 SV=2","transport;signal transduction","non-structural extracellular;other membranes;cytosol;other cytoplasmic organelle;other cell component","enzyme regulator activity;other molecular function"
"Q13228",0.000639635222423941,"(none/unknown)","Methanethiol oxidase OS=Homo sapiens OX=9606 GN=SELENBP1 PE=1 SV=2","transport","other membranes;cytosol;nucleus","other molecular function"
"P0DPA2",0.000637818626421009,"adaptive_immune_system","V-set and immunoglobulin domain-containing protein 8 OS=Homo sapiens OX=9606 GN=VSIG8 PE=2 SV=1","","other membranes",""
"P52907",0.000637044858294392,"cell_organization","F-actin-capping protein subunit alpha-1 OS=Homo sapiens OX=9606 GN=CAPZA1 PE=1 SV=3","cell organization and biogenesis","non-structural extracellular;cytosol;cytoskeleton;other cell component","cytoskeletal activity"
"K7EQM4",0.000635713929925206,"translation","Eukaryotic translation initiation factor 3 subunit K (Fragment) OS=Homo sapiens OX=9606 GN=EIF3K PE=1 SV=1","protein metabolism;other metabolic processes;other biological processes","other cell component","translation activity;nucleic acid binding activity"
"O95197",0.00063294148479912,"intracellular_transport","Reticulon-3 OS=Homo sapiens OX=9606 GN=RTN3 PE=1 SV=2","cell organization and biogenesis;transport;other biological processes","non-structural extracellular;plasma membrane;other membranes;ER/Golgi;other cell component",""
"F8W6I7",0.000625754869528826,"RNA_processing","Heterogeneous nuclear ribonucleoprotein A1 OS=Homo sapiens OX=9606 GN=HNRNPA1 PE=1 SV=2","RNA metabolism OR transcription;other metabolic processes","nucleus;other cell component","nucleic acid binding activity"
"P00966",0.000621294573762106,"AA_biosynthesis","Argininosuccinate synthase OS=Homo sapiens OX=9606 GN=ASS1 PE=1 SV=2","other metabolic processes;stress response;developmental processes;other biological processes","other membranes;cytosol;mitochondrion;ER/Golgi;nucleus;other cytoplasmic organelle;other cell component","other molecular function"
"P34820",0.000616684417450046,"cell_differentiation","Bone morphogenetic protein 8B OS=Homo sapiens OX=9606 GN=BMP8B PE=2 SV=2","developmental processes;signal transduction;other biological processes","non-structural extracellular","signal transduction activity or receptor binding"
"Q7Z2K6",0.000615435225975691,"intracellular_proteolysis","Endoplasmic reticulum metallopeptidase 1 OS=Homo sapiens OX=9606 GN=ERMP1 PE=1 SV=2","protein metabolism;stress response;signal transduction","other membranes;ER/Golgi","other molecular function"
"A0A2R8Y6J3",0.000612630176985906,"translation","60S ribosomal protein L5 (Fragment) OS=Homo sapiens OX=9606 GN=RPL5 PE=1 SV=1","protein metabolism;other metabolic processes","translational apparatus","nucleic acid binding activity;other molecular function"
"Q15149",0.000610767396299946,"cell_organization","Plectin OS=Homo sapiens OX=9606 GN=PLEC PE=1 SV=3","cell cycle OR cell proliferation;cell organization and biogenesis;other metabolic processes;stress response;developmental processes;other biological processes","plasma membrane;other membranes;cytosol;cytoskeleton;mitochondrion;other cell component","cytoskeletal activity;other molecular function"
"Q8N3Y7",0.000610587698383395,"retinol_metabolism","Epidermal retinol dehydrogenase 2 OS=Homo sapiens OX=9606 GN=SDR16C5 PE=1 SV=2","cell cycle OR cell proliferation;other metabolic processes;other biological processes","other membranes;ER/Golgi;nucleus;other cell component","other molecular function"
"Q5VT06",0.000610304574993203,"cell_organization","Centrosome-associated protein 350 OS=Homo sapiens OX=9606 GN=CEP350 PE=1 SV=1","cell organization and biogenesis;other biological processes","cytoskeleton;nucleus;other cell component","cytoskeletal activity"
"A0A0U1RQX9",0.000608055160343069,"tRNA_metabolism","Glutamine--tRNA ligase (Fragment) OS=Homo sapiens OX=9606 GN=QARS1 PE=1 SV=1","protein metabolism;RNA metabolism OR transcription;other metabolic processes","other cell component","other molecular function"
"O15254",0.000591889662267064,"beta_oxidation","Peroxisomal acyl-coenzyme A oxidase 3 OS=Homo sapiens OX=9606 GN=ACOX3 PE=1 SV=2","other metabolic processes;other biological processes","cytosol;other cytoplasmic organelle","other molecular function"
"H0YGR4",0.000587617204644507,"nucleotide/-side_metabolism","Oligoribonuclease, mitochondrial (Fragment) OS=Homo sapiens OX=9606 GN=REXO2 PE=1 SV=1","RNA metabolism OR transcription;other metabolic processes","mitochondrion;nucleus;other cell component","nucleic acid binding activity;other molecular function"
"P17900",0.000578938823688022,"membrane_lipid_metabolism","Ganglioside GM2 activator OS=Homo sapiens OX=9606 GN=GM2A PE=1 SV=4","other metabolic processes;transport;other biological processes","non-structural extracellular;plasma membrane;other membranes;cytosol;other cytoplasmic organelle;other cell component","transporter activity;enzyme regulator activity;other molecular function"
"O00303",0.000577362502652753,"translation","Eukaryotic translation initiation factor 3 subunit F OS=Homo sapiens OX=9606 GN=EIF3F PE=1 SV=1","cell organization and biogenesis;protein metabolism;other metabolic processes;other biological processes","cytosol;translational apparatus;other cell component","nucleic acid binding activity;other molecular function"
"P68371",0.000574288469018622,"cell_organization","Tubulin beta-4B chain OS=Homo sapiens OX=9606 GN=TUBB4B PE=1 SV=1","cell cycle OR cell proliferation;cell organization and biogenesis;stress response","non-structural extracellular;cytosol;cytoskeleton;other cytoplasmic organelle;other cell component","signal transduction activity or receptor binding;cytoskeletal activity;nucleic acid binding activity;other molecular function"
"P31946",0.0005736534789848,"intracellular_signalling","14-3-3 protein beta/alpha OS=Homo sapiens OX=9606 GN=YWHAB PE=1 SV=3","transport;other biological processes","other membranes;cytosol;nucleus;other cytoplasmic organelle;other cell component","enzyme regulator activity;other molecular function"
"P25705",0.000571916058330656,"oxidative_phosphorylation","ATP synthase subunit alpha, mitochondrial OS=Homo sapiens OX=9606 GN=ATP5F1A PE=1 SV=1","other metabolic processes;transport;other biological processes","plasma membrane;other membranes;mitochondrion","signal transduction activity or receptor binding;transporter activity;other molecular function"
"D6RD83",0.00057002221247859,"RNA_processing","Heterogeneous nuclear ribonucleoprotein D0 (Fragment) OS=Homo sapiens OX=9606 GN=HNRNPD PE=1 SV=1","","nucleus;other cell component","nucleic acid binding activity"
"Q6YN16",0.000567261751369168,"additional_lipid_catabolic_process","Hydroxysteroid dehydrogenase-like protein 2 OS=Homo sapiens OX=9606 GN=HSDL2 PE=1 SV=1","","mitochondrion;other cytoplasmic organelle","other molecular function"
"Q07627",0.000563349681741047,"structural_proteins_hair_nail_epidermis","Keratin-associated protein 1-1 OS=Homo sapiens OX=9606 GN=KRTAP1-1 PE=1 SV=1","","cytosol;cytoskeleton",""
"Q14152",0.00055501641408541,"translation","Eukaryotic translation initiation factor 3 subunit A OS=Homo sapiens OX=9606 GN=EIF3A PE=1 SV=1","cell organization and biogenesis;protein metabolism;other metabolic processes;other biological processes","cytosol;cytoskeleton;translational apparatus;nucleus;other cell component","signal transduction activity or receptor binding;nucleic acid binding activity;other molecular function"
"P07355",0.000554265083139199,"cell_growth_control","Annexin A2 OS=Homo sapiens OX=9606 GN=ANXA2 PE=1 SV=2","cell organization and biogenesis;transport;developmental processes;other biological processes","non-structural extracellular;extracellular matrix;plasma membrane;other membranes;cytosol;other cytoplasmic organelle;other cell component","transporter activity;enzyme regulator activity;cytoskeletal activity;other molecular function"
"P62258",0.000549731903371674,"intracellular_signalling","14-3-3 protein epsilon OS=Homo sapiens OX=9606 GN=YWHAE PE=1 SV=1","stress response;transport;signal transduction;other biological processes","cytosol;cytoskeleton;nucleus;other cell component","other molecular function"
"P43155",0.000547189871299421,"beta_oxidation","Carnitine O-acetyltransferase OS=Homo sapiens OX=9606 GN=CRAT PE=1 SV=5","other metabolic processes","other membranes;cytosol;mitochondrion;ER/Golgi;other cytoplasmic organelle","other molecular function"
"O95678",0.000546592891570727,"structural_proteins_hair_nail_epidermis","Keratin, type II cytoskeletal 75 OS=Homo sapiens OX=9606 GN=KRT75 PE=1 SV=2","developmental processes","cytosol;cytoskeleton","other molecular function"
"P00558",0.000545402788279538,"glycolysis","Phosphoglycerate kinase 1 OS=Homo sapiens OX=9606 GN=PGK1 PE=1 SV=3","protein metabolism;other metabolic processes;stress response;other biological processes","non-structural extracellular;other membranes;cytosol","kinase activity;other molecular function"
"Q96PK6",0.00054062558620549,"transcription","RNA-binding protein 14 OS=Homo sapiens OX=9606 GN=RBM14 PE=1 SV=2","cell organization and biogenesis;protein metabolism;RNA metabolism OR transcription;other metabolic processes;stress response;signal transduction;other biological processes","nucleus;other cell component","nucleic acid binding activity;other molecular function"
"G3V4C3",0.000540019154501153,"intracellular_transport","Trafficking protein particle complex subunit 6B OS=Homo sapiens OX=9606 GN=TRAPPC6B PE=1 SV=1","transport;other biological processes","ER/Golgi",""
"Q9GZP4",0.000536117259238617,"cell_differentiation","PITH domain-containing protein 1 OS=Homo sapiens OX=9606 GN=PITHD1 PE=1 SV=1","other biological processes","other cell component",""
"Q96QA5",0.000534525366603885,"apoptosis_regulation","Gasdermin-A OS=Homo sapiens OX=9606 GN=GSDMA PE=1 SV=4","stress response;other biological processes","plasma membrane;other membranes;cytosol;other cell component","other molecular function"
"P62081",0.000534234129515615,"translation","40S ribosomal protein S7 OS=Homo sapiens OX=9606 GN=RPS7 PE=1 SV=1","protein metabolism;RNA metabolism OR transcription;other metabolic processes;developmental processes;other biological processes","cytosol;cytoskeleton;translational apparatus;nucleus;other cell component","enzyme regulator activity;nucleic acid binding activity;other molecular function"
"Q71U36",0.000534152431532933,"cell_organization","Tubulin alpha-1A chain OS=Homo sapiens OX=9606 GN=TUBA1A PE=1 SV=1","cell cycle OR cell proliferation;cell organization and biogenesis;transport;other biological processes","other membranes;cytosol;cytoskeleton;other cytoplasmic organelle;other cell component","cytoskeletal activity;other molecular function"
